strategy,signal_time,entry_time,exit_time,entry_price,exit_price,sl,target,shares,pnl,exit_reason,symbol
VOLATILITY_BREAKOUT,2025-10-06 12:00:00+05:30,2025-10-07 08:00:00+05:30,2025-10-14 12:00:00+05:30,150.16,148.16,146.282,157.916,665,-1330.0,CLOSE_BELOW_EMA_FAST,IOC
VOLATILITY_BREAKOUT,2025-10-07 08:00:00+05:30,2025-10-07 12:00:00+05:30,2025-10-08 12:00:00+05:30,1369.6,1319.05,1319.05,1470.7,73,-3690.149999999997,SL,UNOMINDA
VOLATILITY_BREAKOUT,2025-10-07 12:00:00+05:30,2025-10-08 08:00:00+05:30,2025-10-14 08:00:00+05:30,9270.0,9044.0,8954.55,9900.9,10,-2260.0,CLOSE_BELOW_EMA_FAST,OFSS
VOLATILITY_BREAKOUT,2025-10-07 12:00:00+05:30,2025-10-08 08:00:00+05:30,2025-10-13 12:00:00+05:30,9.25,8.7,8.624,10.502,10810,-5945.500000000007,CLOSE_BELOW_EMA_FAST,IDEA
VOLATILITY_BREAKOUT,2025-10-08 08:00:00+05:30,2025-10-08 12:00:00+05:30,2025-10-16 08:00:00+05:30,1096.6,1178.04,1055.8799999999999,1178.04,91,7411.0400000000045,TARGET,360ONE
VOLATILITY_BREAKOUT,2025-10-09 08:00:00+05:30,2025-10-09 12:00:00+05:30,2025-10-17 12:00:00+05:30,509.3,499.0,488.135,551.63,196,-2018.8000000000022,CLOSE_BELOW_EMA_FAST,HINDZINC
VOLATILITY_BREAKOUT,2025-10-09 12:00:00+05:30,2025-10-10 08:00:00+05:30,2025-10-14 08:00:00+05:30,2335.0,2526.5800000000004,2239.21,2526.5800000000004,42,8046.360000000016,TARGET,BSE
VOLATILITY_BREAKOUT,2025-10-10 08:00:00+05:30,2025-10-10 12:00:00+05:30,2025-10-16 08:00:00+05:30,23.91,23.153,23.153,25.424,4182,-3165.7740000000063,SL,YESBANK
VOLATILITY_BREAKOUT,2025-10-10 08:00:00+05:30,2025-10-10 12:00:00+05:30,2025-10-27 08:00:00+05:30,6388.5,6503.0,6166.05,6833.4,15,1717.5,CLOSE_BELOW_EMA_FAST,DIVISLAB
VOLATILITY_BREAKOUT,2025-10-10 12:00:00+05:30,2025-10-13 08:00:00+05:30,2025-10-16 08:00:00+05:30,74.35,72.37799999999999,72.37799999999999,78.294,1344,-2650.3680000000113,SL,IDFCFIRSTB
VOLATILITY_BREAKOUT,2025-10-13 08:00:00+05:30,2025-10-13 12:00:00+05:30,2025-10-20 08:00:00+05:30,212.1,223.656,206.322,223.656,471,5442.876000000006,TARGET,FEDERALBNK
VOLATILITY_BREAKOUT,2025-10-14 12:00:00+05:30,2025-10-15 08:00:00+05:30,2025-10-27 12:00:00+05:30,452.8,486.81,435.795,486.81,220,7482.199999999998,TARGET,SONACOMS
VOLATILITY_BREAKOUT,2025-10-15 08:00:00+05:30,2025-10-15 12:00:00+05:30,2025-10-23 12:00:00+05:30,3119.4,3068.6,3037.08,3284.0400000000004,32,-1625.6000000000058,CLOSE_BELOW_EMA_FAST,SRF
VOLATILITY_BREAKOUT,2025-10-15 08:00:00+05:30,2025-10-15 12:00:00+05:30,2025-11-03 08:00:00+05:30,1758.5,1763.6,1695.14,1885.22,56,285.5999999999949,CLOSE_BELOW_EMA_FAST,COFORGE
VOLATILITY_BREAKOUT,2025-10-15 08:00:00+05:30,2025-10-15 12:00:00+05:30,2025-11-04 12:00:00+05:30,1687.3,1746.0,1614.1599999999999,1833.58,59,3463.300000000003,CLOSE_BELOW_EMA_FAST,PRESTIGE
