equity
1005558.28
1011593.05
1009434.5575
1008251.7325
1013085.9400000001
1010894.9687500001
1008444.0887500001
1005662.4812500001
1003753.675
1002238.525
1000618.525
999160.7050000001
1003020.2425
1000951.8175
999091.2175
996775.255
993583.29625
990327.29875
987302.9987499999
983826.29875
979872.53875
976376.5765
972511.3374999999
970157.1549999999
967825.075
964121.005
961709.035
